,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
51,6hOkDfpqzrARPgVRmUGbSs,FIRST LOVE,0SSQfkqMG4VMmWgU47u5pu,https://p.scdn.co/mp3-preview/e93b9fd82f3598df4af1846407d0542d675a8783?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2015-06-03,"['k-pop', 'k-pop boy group']",0.752,0.716,-4.703,0.0421,0.395,0,0.0487,0.753,120.002,9,1,242337,41.0
52,6hOkDfpqzrARPgVRmUGbSs,HURT,5cD60Sgj8fYK90jHdIsxG6,https://p.scdn.co/mp3-preview/b51077ee1e70010d6616e8500f88dbaba8df632b?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2015-06-03,"['k-pop', 'k-pop boy group']",0.693,0.809,-3.968,0.0443,0.0174,0,0.153,0.482,120.053,9,0,219483,35.0
53,6hOkDfpqzrARPgVRmUGbSs,Heart Attack,3nEM52dSdKzlWSo2ED7ztS,https://p.scdn.co/mp3-preview/0c48bf2301fe779dd59ea8de329aea68a3f4c4d4?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2013-08-05,"['k-pop', 'k-pop boy group']",0.668,0.641,-5.077,0.0339,0.0891,0,0.0659,0.541,80.979,10,1,217989,50.0
54,6hOkDfpqzrARPgVRmUGbSs,Overdose,5NSPsOGVNWYOMeeyZPF7HY,https://p.scdn.co/mp3-preview/637fb3b50ea59970dd1a95827b9769cfd7811801?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2014-08-06,"['k-pop', 'k-pop boy group']",0.498,0.917,-1.797,0.164,0.0615,0,0.358,0.652,112.357,5,0,205612,65.0
55,6hOkDfpqzrARPgVRmUGbSs,Baby,3pnvvqhkOYq0kTgLaT4BCA,https://p.scdn.co/mp3-preview/c42285efcd90be38722fac51ac4e272971f59a0a?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2013-08-05,"['k-pop', 'k-pop boy group']",0.713,0.864,-3.321,0.043,0.077,0,0.0905,0.759,137.956,10,1,238011,44.0
56,6hOkDfpqzrARPgVRmUGbSs,Falling For You,24XLVxCLOhNEsjGBUrECsc,https://p.scdn.co/mp3-preview/27523aac1cdb597278133a5a3f2087440eb91cfe?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2016-12-19,"['k-pop', 'k-pop boy group']",0.698,0.867,-3.527,0.0524,0.24,0,0.0999,0.883,99.501,6,0,204055,41.0
57,6hOkDfpqzrARPgVRmUGbSs,Candy,6kKC35sKUh2FUx4M0qAL44,https://p.scdn.co/mp3-preview/e6fb1514c9f6795c9ae9033b7a66b248500888ee?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2020-05-25,['k-pop'],0.649,0.767,-3.838,0.0455,0.24,0,0.0929,0.608,149.918,11,0,227173,64.0
58,6hOkDfpqzrARPgVRmUGbSs,R U Ridin’?,4Jxc98fY5SQ6zyGg8Dnybw,https://p.scdn.co/mp3-preview/583a2e7fe27156a6fe33ddd87ee87bca53181a09?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2020-05-25,['k-pop'],0.438,0.851,-2.516,0.31,0.0427,9.85e-06,0.0626,0.766,192.026,1,1,174507,48.0
59,6hOkDfpqzrARPgVRmUGbSs,Bungee,6wwmbBoBaFxptJwuvF2QdM,https://p.scdn.co/mp3-preview/d22e2d91d28444b88ac84b8c4d0da1241036c7d6?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2020-05-25,['k-pop'],0.676,0.758,-4.106,0.037,0.611,0,0.085,0.552,93.979,0,1,206693,50.0
60,6hOkDfpqzrARPgVRmUGbSs,Underwater,7tIFeLQFS7A6DLcZ12Mv3U,https://p.scdn.co/mp3-preview/0f86d354a9fb003d520db68d7393f8009b89e5df?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2020-05-25,['k-pop'],0.37,0.691,-3.614,0.0534,0.51,0,0.148,0.304,98.173,4,0,199187,50.0
61,6hOkDfpqzrARPgVRmUGbSs,Poppin’,1JTUPJr0rSf93hNlRR6S0g,https://p.scdn.co/mp3-preview/3acb15f734c2754ee711680648a145c5159ff681?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2020-05-25,['k-pop'],0.643,0.613,-2.522,0.0813,0.113,0,0.0795,0.573,103.132,7,1,208267,47.0
62,6hOkDfpqzrARPgVRmUGbSs,Love Again,4dYODiAYvJHWQJtNganYCY,https://p.scdn.co/mp3-preview/47f796dafc30e63583ef5dfe5167f196d7d4a8ba?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2020-05-25,['k-pop'],0.684,0.595,-5.423,0.0364,0.286,8.55e-06,0.106,0.564,95.059,4,0,205293,61.0
63,6hOkDfpqzrARPgVRmUGbSs,Ghost,4pulHxja8nTUiojRtfwgTv,https://p.scdn.co/mp3-preview/658d5f657a63459244517c83a0e3ae3e8c2b6b67?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2020-05-25,['k-pop'],0.711,0.854,-2.329,0.0378,0.339,1.03e-05,0.108,0.481,100.027,7,0,204253,48.0
64,6hOkDfpqzrARPgVRmUGbSs,Heaven,64wBH2x7lTYxhwUzoS5gvt,https://p.scdn.co/mp3-preview/a58b9238289cf7f98a5580271d5e12387afe4dae?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2016-06-09,"['k-pop', 'k-pop boy group']",0.696,0.844,-4.212,0.181,0.0348,0,0.0882,0.761,91.982,5,0,225823,49.0
65,6hOkDfpqzrARPgVRmUGbSs,Lucky One,6F07dfBaUEcylJdL3gky7y,https://p.scdn.co/mp3-preview/8130156b69df31d7e5e5577e10ba00352538d5eb?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2016-06-09,"['k-pop', 'k-pop boy group']",0.731,0.787,-3.95,0.055,0.169,0,0.0892,0.799,120.951,1,1,227486,54.0
66,6hOkDfpqzrARPgVRmUGbSs,PLAYBOY,06KYwRJKN3IKOKzaWuP3ea,https://p.scdn.co/mp3-preview/78e84f5c3e9f1755e14764bc2ae1dc7a05f3cde7?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2015-03-30,"['k-pop', 'k-pop boy group']",0.529,0.722,-4.815,0.0814,0.213,0,0.102,0.666,79.951,1,0,212132,54.0
67,6hOkDfpqzrARPgVRmUGbSs,Psycho - Bonus Track,59i14jziCvvdoTYJn7SiKe,https://p.scdn.co/mp3-preview/75cdbe3b8f8280ba690775dcb3c406fdc2ee6ac1?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2019-07-10,['k-pop'],0.449,0.896,-2.05,0.0543,0.51,0,0.085,0.502,109.708,3,0,205950,47.0
